GEO_UID,Visible_minority%,Immigrants%,Canadian_citizens%,Housing_Renter%,Housing_Owner%,Native_english/french_speaker%,Martial_status_Married%,Single-detached_house%,Highrise_condo%,Movable_dwelling%,Avg_household_size,Age_0_14%,Age_15_64%,Age_65%,Age_avg
59153969,0.059259259,0.192592593,1,0.288888889,0.311111111,1,0.340740741,0.127314815,0.208333333,0,1.6,0.088888889,0.474074074,0.437037037,54.6
59153970,0.347556779,0.39229181,0.877494838,0.223675155,0.326909842,0.963523744,0.557467309,0,0.577309237,0.025100402,1.8,0.065381968,0.715760496,0.223675155,46.3
59153971,0.278436019,0.343601896,0.817535545,0.343601896,0.266587678,0.977488152,0.485781991,0,0.514240506,0,1.7,0.088862559,0.746445498,0.159952607,42.7
59153972,0.034246575,0.162671233,0.607876712,0.042808219,0.308219178,0.616438356,0.376712329,0.092165899,0.276497696,0,1.8,0.042808219,0.342465753,0.616438356,66.3
59153973,0.299352751,0.291262136,0.930420712,0.105177994,0.315533981,0.995145631,0.461165049,0.389105058,0,0,2.6,0.210355987,0.631067961,0.153721683,40
59153974,0.222623345,0.162454874,0.836341757,0.024067389,0.258724428,0.860409146,0.487364621,0.612648221,0,0,3.4,0.222623345,0.691937425,0.090252708,35.7
59153975,0.22479564,0.14986376,0.960490463,0.027247956,0.279291553,0.98773842,0.517711172,0.605381166,0,0,3.3,0.231607629,0.701634877,0.068119891,33.3
59153976,0.297619048,0.2245671,1.011904762,0.045995671,0.265151515,1,0.484307359,0.569727891,0,0,3.3,0.213744589,0.711580087,0.073051948,35.8
59153977,0.158982512,0.278219396,0.9936407,0,0.357710652,0.9936407,0.532591415,0.208333333,0,0,2.9,0.238473768,0.643879173,0.111287758,36.7
59153978,0.18902439,0.207317073,1.036585366,0.018292683,0.286585366,1,0.579268293,0.648854962,0,0,3.2,0.195121951,0.701219512,0.109756098,37.5
59153979,0.109819121,0.174418605,0.813953488,0.019379845,0.277777778,0.88501292,0.529715762,0.735849057,0,0,3,0.15503876,0.704134367,0.135658915,40.6
59153980,0.60704607,0.577235772,0.72899729,0.178861789,0.189701897,0.945799458,0.509485095,0.0067659,0.196211096,0,2.7,0.214092141,0.72899729,0.056910569,34.3
59153981,0.562130178,0.381328074,0.565417488,0.236686391,0.180802104,0.818540434,0.499671269,0,0.217669654,0,2.1,0.13477975,0.736357659,0.128205128,36.8
59153982,0.19650655,0.204694323,1.028930131,0.040938865,0.253820961,1,0.483078603,0.940409683,0,0,3.5,0.272925764,0.685043668,0.043668122,31.3
59153983,0.1421092,0.201944652,0.961106956,0.044876589,0.287958115,0.987284966,0.504861631,0.878995434,0,0.011415525,3.2,0.250560957,0.680628272,0.063575168,33.3
